antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
"frozenset({'CKING', 'CKCRD'})",frozenset({'CCRD'}),0.11300212739331748,0.154799149042673,0.05581278938806157,0.4939091915836102,3.190645392032845,0.038320156227564295,1.670057698937563
"frozenset({'CKING', 'CCRD'})",frozenset({'CKCRD'}),0.1485421098736078,0.11300212739331748,0.05581278938806157,0.37573715248525696,3.3250449451934534,0.03902721496485198,1.4208724356061162
"frozenset({'CKCRD', 'CCRD'})",frozenset({'CKING'}),0.05581278938806157,0.8578400700788387,0.05581278938806157,1.0,1.1657184536834428,0.007934342228111367,inf
frozenset({'CKING'}),"frozenset({'CKCRD', 'CCRD'})",0.8578400700788387,0.05581278938806157,0.05581278938806157,0.0650619985412108,1.1657184536834426,0.007934342228111367,1.0098928582844184
frozenset({'CKCRD'}),"frozenset({'CKING', 'CCRD'})",0.11300212739331748,0.1485421098736078,0.05581278938806157,0.4939091915836102,3.3250449451934534,0.03902721496485198,1.6824211702059786
frozenset({'CCRD'}),"frozenset({'CKING', 'CKCRD'})",0.154799149042673,0.11300212739331748,0.05581278938806157,0.36054971705739697,3.1906453920328453,0.038320156227564295,1.3871256237856717
"frozenset({'SVG', 'CKING'})",frozenset({'CCRD'}),0.5417344512576648,0.154799149042673,0.09986234513828056,0.18433818433818433,1.1908216904174866,0.01600231307649462,1.0362148070785242
"frozenset({'SVG', 'CCRD'})",frozenset({'CKING'}),0.10224002002252534,0.8578400700788387,0.09986234513828056,0.9767441860465116,1.1386087222024324,0.012156759197295544,6.112876986609926
"frozenset({'CKING', 'CCRD'})",frozenset({'SVG'}),0.1485421098736078,0.6186960330371668,0.09986234513828056,0.6722830665543387,1.0866128610104613,0.007959931020508446,1.1635162179559975
frozenset({'SVG'}),"frozenset({'CKING', 'CCRD'})",0.6186960330371668,0.1485421098736078,0.09986234513828056,0.16140776699029125,1.086612861010461,0.007959931020508446,1.0153419702809654
frozenset({'CKING'}),"frozenset({'SVG', 'CCRD'})",0.8578400700788387,0.10224002002252534,0.09986234513828056,0.11641137855579868,1.1386087222024324,0.012156759197295544,1.0160384122082862
frozenset({'CCRD'}),"frozenset({'SVG', 'CKING'})",0.154799149042673,0.5417344512576648,0.09986234513828056,0.645109135004042,1.1908216904174866,0.01600231307649462,1.2912858400780605
"frozenset({'SVG', 'CD'})",frozenset({'CKING'}),0.15717682392691779,0.8578400700788387,0.1425353522713052,0.9068471337579617,1.0571284384915933,0.007702774619068764,1.5260929229143454
"frozenset({'CKING', 'CD'})",frozenset({'SVG'}),0.20986109373044676,0.6186960330371668,0.1425353522713052,0.6791890280262373,1.0977749844170028,0.012695126091436748,1.1885627371685337
frozenset({'SVG'}),"frozenset({'CKING', 'CD'})",0.6186960330371668,0.20986109373044676,0.1425353522713052,0.23038025889967637,1.0977749844170028,0.012695126091436748,1.0266614330083235
frozenset({'CKING'}),"frozenset({'SVG', 'CD'})",0.8578400700788387,0.15717682392691779,0.1425353522713052,0.1661560904449307,1.0571284384915933,0.007702774619068764,1.0107685220400593
"frozenset({'SVG', 'CKCRD'})",frozenset({'CKING'}),0.07971467901389062,0.8578400700788387,0.07971467901389062,1.0,1.1657184536834428,0.011332233182302559,inf
"frozenset({'SVG', 'CKING'})",frozenset({'CKCRD'}),0.5417344512576648,0.11300212739331748,0.07971467901389062,0.14714714714714713,1.302162627744023,0.01849753353952304,1.0400362379507933
"frozenset({'CKCRD', 'CKING'})",frozenset({'SVG'}),0.11300212739331748,0.6186960330371668,0.07971467901389062,0.7054263565891472,1.1401824465015928,0.009800711070884538,1.2944266246896177
frozenset({'SVG'}),"frozenset({'CKCRD', 'CKING'})",0.6186960330371668,0.11300212739331748,0.07971467901389062,0.1288430420711974,1.1401824465015928,0.009800711070884538,1.018183766465623
frozenset({'CKCRD'}),"frozenset({'SVG', 'CKING'})",0.11300212739331748,0.5417344512576648,0.07971467901389062,0.7054263565891472,1.302162627744023,0.01849753353952304,1.55569094178319
frozenset({'CKING'}),"frozenset({'SVG', 'CKCRD'})",0.8578400700788387,0.07971467901389062,0.07971467901389062,0.09292487235594456,1.1657184536834426,0.011332233182302559,1.0145635052042103
"frozenset({'SVG', 'CKING'})",frozenset({'HMEQLC'}),0.5417344512576648,0.164685270929796,0.11150043799274184,0.20582120582120583,1.249785148721319,0.02228475311536894,1.0517968185412778
"frozenset({'SVG', 'HMEQLC'})",frozenset({'CKING'}),0.11150043799274184,0.8578400700788387,0.11150043799274184,1.0,1.1657184536834428,0.015850894451226977,inf
"frozenset({'CKING', 'HMEQLC'})",frozenset({'SVG'}),0.164685270929796,0.6186960330371668,0.11150043799274184,0.6770516717325229,1.0943203699058637,0.009610314168826004,1.1806965188778555
frozenset({'SVG'}),"frozenset({'CKING', 'HMEQLC'})",0.6186960330371668,0.164685270929796,0.11150043799274184,0.18021844660194175,1.0943203699058637,0.009610314168826004,1.0189479448613592
frozenset({'CKING'}),"frozenset({'SVG', 'HMEQLC'})",0.8578400700788387,0.11150043799274184,0.11150043799274184,0.12997811816192562,1.1657184536834428,0.015850894451226977,1.0212381786652842
frozenset({'HMEQLC'}),"frozenset({'SVG', 'CKING'})",0.164685270929796,0.5417344512576648,0.11150043799274184,0.6770516717325229,1.2497851487213192,0.02228475311536894,1.419005793282149
"frozenset({'SVG', 'CKING'})",frozenset({'IRA'}),0.5417344512576648,0.10837191840820924,0.05956701288950069,0.10995610995610997,1.0146181000684464,0.0008582111388890298,1.0017799027279684
